Topic,Keyword,Probability
Topic 1,ledger,0.0187
Topic 1,coinbas,0.0178
Topic 1,cold,0.016
Topic 1,fee,0.0145
Topic 1,transfer,0.0128
Topic 1,send,0.0123
Topic 1,coin,0.0122
Topic 1,hardwar,0.0115
Topic 1,storag,0.0109
Topic 1,ftx,0.0106
Topic 1,app,0.0097
Topic 1,move,0.0095
Topic 1,best,0.0095
Topic 1,withdraw,0.0092
Topic 1,safe,0.0089
Topic 1,fund,0.0087
Topic 1,account,0.0084
Topic 1,binanc,0.0076
Topic 1,amount,0.0075
Topic 1,address,0.0075
Topic 1,trezor,0.0072
Topic 1,option,0.0069
Topic 1,strike,0.0065
Topic 1,day,0.0062
Topic 1,custodi,0.0059
Topic 1,purchas,0.0058
Topic 1,store,0.0056
Topic 1,got,0.0056
Topic 1,keep,0.0055
Topic 1,trust,0.005
Topic 2,market,0.0182
Topic 2,sell,0.0131
Topic 2,invest,0.013
Topic 2,month,0.0088
Topic 2,day,0.0085
Topic 2,back,0.0078
Topic 2,last,0.0078
Topic 2,next,0.0076
Topic 2,long,0.0066
Topic 2,week,0.0064
Topic 2,keep,0.0057
Topic 2,bought,0.0056
Topic 2,hold,0.0055
Topic 2,everi,0.0055
Topic 2,right,0.0054
Topic 2,feel,0.0053
Topic 2,drop,0.0053
Topic 2,stock,0.0053
Topic 2,happen,0.0052
Topic 2,dca,0.0051
Topic 2,around,0.0048
Topic 2,sinc,0.0046
Topic 2,first,0.0046
Topic 2,high,0.0046
Topic 2,trade,0.0045
Topic 2,hodl,0.0045
Topic 2,stack,0.0044
Topic 2,never,0.0043
Topic 2,loan,0.0043
Topic 2,crash,0.0042
Topic 3,transact,0.0259
Topic 3,key,0.0217
Topic 3,block,0.0209
Topic 3,seed,0.0166
Topic 3,address,0.0148
Topic 3,phrase,0.0122
Topic 3,word,0.0107
Topic 3,privat,0.0101
Topic 3,blockchain,0.0099
Topic 3,mine,0.0082
Topic 3,secur,0.0082
Topic 3,comput,0.0075
Topic 3,gener,0.0075
Topic 3,creat,0.0074
Topic 3,miner,0.0069
Topic 3,2,0.0061
Topic 3,find,0.0054
Topic 3,paper,0.0053
Topic 3,store,0.0052
Topic 3,possibl,0.0052
Topic 3,old,0.005
Topic 3,access,0.0049
Topic 3,1,0.0048
Topic 3,public,0.0048
Topic 3,file,0.0047
Topic 3,data,0.0047
Topic 3,differ,0.0047
Topic 3,attack,0.0046
Topic 3,x200b,0.0045
Topic 3,code,0.0045
Topic 4,node,0.0571
Topic 4,lightn,0.0518
Topic 4,network,0.041
Topic 4,run,0.0323
Topic 4,sat,0.0234
Topic 4,tip,0.0135
Topic 4,connect,0.0129
Topic 4,core,0.0128
Topic 4,full,0.0127
Topic 4,channel,0.0101
Topic 4,set,0.0096
Topic 4,transact,0.0093
Topic 4,ln,0.0081
Topic 4,layer,0.008
Topic 4,open,0.008
Topic 4,download,0.0079
Topic 4,code,0.0072
Topic 4,user,0.0071
Topic 4,app,0.0069
Topic 4,instal,0.0066
Topic 4,muun,0.0064
Topic 4,server,0.0059
Topic 4,bot,0.0056
Topic 4,send,0.0056
Topic 4,build,0.0049
Topic 4,blockchain,0.0049
Topic 4,fee,0.0048
Topic 4,sourc,0.0046
Topic 4,pi,0.0044
Topic 4,version,0.0043
Topic 5,countri,0.0157
Topic 5,cryptocurr,0.0142
Topic 5,state,0.0115
Topic 5,regul,0.0099
Topic 5,govern,0.0093
Topic 5,asset,0.0091
Topic 5,financi,0.0081
Topic 5,us,0.008
Topic 5,digit,0.0067
Topic 5,el,0.0067
Topic 5,vote,0.0061
Topic 5,legal,0.0061
Topic 5,compani,0.0057
Topic 5,russia,0.0056
Topic 5,ban,0.0056
Topic 5,law,0.0054
Topic 5,develop,0.0052
Topic 5,salvador,0.005
Topic 5,trade,0.0048
Topic 5,institut,0.0046
Topic 5,currenc,0.0046
Topic 5,parti,0.0045
Topic 5,bank,0.0043
Topic 5,adopt,0.0043
Topic 5,allow,0.004
Topic 5,rule,0.004
Topic 5,includ,0.004
Topic 5,fund,0.0036
Topic 5,support,0.0036
Topic 5,sbf,0.0035
